name,smiles,tanimoto_combo_legacy,tanimoto_combination,tanimoto_shape,tanimoto_color,overlap_volume,overlap_color,self_overlap_volume_query,self_overlap_volume_fit,self_overlap_color_query,self_overlap_color_fit,RefTversky_volume,RefTversky_color,FitTversky_volume,FitTversky_color,RefTverskyCombo,FitTverskyCombo
CHEMBL1683560,N[C@H]1CN(c2cc(N3CCc4nocc4C3)ncn2)C[C@@H]1c1ccccc1,1.1792248,0.5896124,0.7305959,0.448629,1023.8572,27.837616,1134.4746,1290.7827,42.087975,47.80006,0.896,0.657,0.798,0.586,1.553,1.384
CHEMBL3656745,Cn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2Cc2cccc(C(F)(F)F)c2)CC3)n1,1.1792226,0.5896113,0.6083319,0.5708907,1017.46405,35.909756,1134.4746,1555.5371,42.087975,56.723064,0.881,0.839,0.663,0.641,1.719,1.304
CHEMBL144960,O=c1ccoc2cc(OCc3ccccc3)ccc12,1.1792215,0.58961076,0.668275,0.5109465,813.5468,29.747889,1134.4746,896.45544,42.087975,45.88105,0.725,0.704,0.896,0.651,1.428,1.547
CHEMBL1834337,CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1F)N1C[C@H](CC)C=N1,1.179203,0.5896015,0.7382844,0.4409186,918.0008,24.89882,1134.4746,1026.9504,42.087975,39.281185,0.813,0.594,0.889,0.632,1.407,1.521
CHEMBL1421263,CC1=NN(C(N)=S)C(=O)[C@@H]1/N=N/c1ccccc1,1.1792016,0.5896008,0.6726249,0.5065767,790.5175,22.42221,1134.4746,831.3154,42.087975,24.596455,0.706,0.544,0.934,0.88,1.25,1.814
CHEMBL2095093,Cc1ccc([N+]2=C3SCCCN3[C@@](O)(c3ccc(Cl)cc3Cl)C2)cc1,1.1791972,0.5895986,0.76140976,0.41778743,986.7575,30.023417,1134.4746,1148.2441,42.087975,59.79834,0.869,0.699,0.86,0.51,1.568,1.37
CHEMBL71768,Cc1nc2c(n1Cc1ccccc1)C(=O)N(C)C1=N[C@@H]3CCC[C@@H]3N12,1.1791959,0.58959794,0.7201708,0.45902514,986.36255,27.879444,1134.4746,1221.511,42.087975,46.527668,0.866,0.659,0.81,0.602,1.525,1.412
CHEMBL3752085,CN1CCN(c2cc(-c3ccccc3)nc(NCc3ccccc3)n2)CC1,1.1791916,0.5895958,0.6901552,0.4890364,978.4415,34.337368,1134.4746,1261.6792,42.087975,62.46373,0.858,0.797,0.779,0.559,1.654,1.338
CHEMBL146329,Cc1ccccc1CNc1nc2ccccc2c(=O)o1,1.1791804,0.5895902,0.64089835,0.5382821,811.8969,33.83822,1134.4746,944.2332,42.087975,54.6136,0.722,0.792,0.851,0.627,1.514,1.478
CHEMBL4086277,CCc1ccc2c(CC(=O)O)c(C)n(Cc3ccc(S(C)(=O)=O)cc3)c2n1,1.179174,0.589587,0.73198503,0.4471889,999.1093,34.10282,1134.4746,1229.5662,42.087975,68.27528,0.877,0.786,0.816,0.509,1.663,1.325
CHEMBL4094080,N[C@H]1C[C@H](Oc2ccc3ncc(-c4ccc5cnccc5c4)n3n2)C1,1.1791692,0.5895846,0.6975118,0.48165736,965.3533,32.6925,1134.4746,1214.8743,42.087975,58.47954,0.848,0.762,0.797,0.567,1.61,1.364
CHEMBL4240284,Cc1cc(C)c(Oc2ncnc(Nc3ccc(F)cc3)n2)c(C)c1,1.1791687,0.58958435,0.6975022,0.48166654,928.8829,32.451916,1134.4746,1126.1357,42.087975,57.738186,0.819,0.757,0.825,0.57,1.576,1.394
CHEMBL1834340,CCN/C(=N\[S@+]([O-])c1sc2ccc(Cl)cc2c1C)N1C[C@@H](CC)C=N1,1.1791462,0.5895731,0.78934366,0.38980255,986.54156,26.448057,1134.4746,1101.8921,42.087975,52.209965,0.871,0.621,0.894,0.512,1.492,1.406
CHEMBL4060787,Oc1ccc(Nc2nc(-c3ccncc3)nc3ccccc23)cc1,1.1791457,0.58957285,0.7898543,0.38929138,1009.72284,27.88491,1134.4746,1153.6143,42.087975,57.426853,0.889,0.651,0.876,0.492,1.54,1.368
CHEMBL572560,Cc1ccc(-c2ccc3occ(-c4ccc([S@+](C)[O-])cc4)c3n2)o1,1.1791402,0.5895701,0.65728456,0.52185565,897.9197,31.980783,1134.4746,1129.55,42.087975,51.175625,0.792,0.752,0.795,0.631,1.543,1.425
CHEMBL3698177,C[C@@H](c1ccc(Br)cc1)N1CC[C@]2(CC[C@@](C)(O)CC2)OC1=O,1.1791022,0.5895511,0.7376149,0.44148725,921.2133,28.742975,1134.4746,1035.6469,42.087975,51.759884,0.816,0.675,0.885,0.561,1.491,1.446
CHEMBL3769597,CC(C)(C)c1ccc(COC(=O)N[C@H]2CNC2=O)cc1,1.179097,0.5895485,0.698679,0.48041806,837.0645,29.428457,1134.4746,900.65735,42.087975,48.59642,0.746,0.694,0.917,0.61,1.439,1.527
CHEMBL399488,O=C(NCc1c(Cl)cccc1Cl)c1snnc1C1CC1,1.179072,0.589536,0.6480084,0.5310636,795.08795,31.055088,1134.4746,887.5849,42.087975,47.444263,0.709,0.733,0.884,0.658,1.442,1.542
CHEMBL367414,Cc1ccccc1Sc1nc(Nc2ccc(C#N)cc2)c(O)nc1C,1.1790681,0.58953404,0.6362419,0.5428261,888.00903,36.136658,1134.4746,1149.2441,42.087975,60.620014,0.782,0.84,0.773,0.605,1.622,1.379
CHEMBL271419,Fc1ccc(-c2nc(Cc3ccccc3)nc3c2CNCC3)cc1,1.1790643,0.58953214,0.72630805,0.45275626,954.18097,32.689594,1134.4746,1133.4478,42.087975,62.80292,0.841,0.758,0.842,0.529,1.599,1.371
CHEMBL117554,Clc1ccc(CNc2ncnc3ccccc23)cc1,1.1790631,0.58953154,0.74813646,0.43092662,863.8863,28.07822,1134.4746,884.12915,42.087975,51.148014,0.77,0.66,0.963,0.554,1.43,1.517
CHEMBL3955877,CC(C)c1ccc(CN2CCN(C(=O)Nc3ccccc3)CC2)cc1,1.1790471,0.58952355,0.7791071,0.39993998,995.5935,30.188208,1134.4746,1138.9836,42.087975,63.582077,0.877,0.699,0.874,0.483,1.577,1.357
CHEMBL564477,Cc1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cn1,1.1790422,0.5895211,0.686291,0.49275127,921.6186,28.317728,1134.4746,1130.0417,42.087975,43.69836,0.813,0.672,0.815,0.649,1.484,1.465
CHEMBL255079,CCCCn1cnc2c(NCc3ccccc3)nc(C#N)nc21,1.1790414,0.5895207,0.66589713,0.5131442,881.91315,30.242826,1134.4746,1071.8369,42.087975,47.091167,0.78,0.714,0.82,0.646,1.494,1.466
CHEMBL1715537,CC1(C)CSC(NCc2ccccc2)=N1,1.1790408,0.5895204,0.6095194,0.56952137,677.16534,27.058554,1134.4746,653.67316,42.087975,32.481617,0.61,0.65,0.999,0.821,1.26,1.82
CHEMBL391342,Cc1ccc([C@H]2COc3c(ccc(O)c3O)C2)cc1,1.1790373,0.58951867,0.7020482,0.47698912,834.3567,32.198353,1134.4746,888.34283,42.087975,57.613705,0.744,0.751,0.926,0.566,1.495,1.493
CHEMBL56124,CCCCC/N=c1\ccn([C@@H]2CCc3ccccc32)c2cc(Cl)ccc12,1.179033,0.5895165,0.69218177,0.48685127,950.2224,35.550934,1134.4746,1188.541,42.087975,66.48512,0.836,0.821,0.801,0.545,1.656,1.346
CHEMBL337392,N#CCN1C(=O)N(Cc2cccc(Br)c2)S(=O)(=O)c2cscc21,1.1790326,0.5895163,0.6537376,0.52529496,853.8388,28.293077,1134.4746,1025.4521,42.087975,40.066418,0.756,0.674,0.828,0.704,1.43,1.533
